ID,Nombre,Domicilio
0,Dr. José Eleuterio González,"Av. Dr. José Eleuterio González S/N, Mitras Centro, 64460 Monterrey, N.L."
1,Museo de Historia Mexicana,"Dr José Ma. Coss 445, Centro, 64000 Monterrey, N.L."
2,Tec de Monterrey,"Av. Eugenio Garza Sada Sur 2501 Sur, Tecnológico, 64849 Monterrey, N.L."
3,Carnes Ramos Las Torres,"Av Lázaro Cárdenas 3500, Del Paseo Residencial, 64920 Monterrey, N.L."
4,Iglesia Cristo de La Montaña,"Anaxágoras 1000, Contry La Silla 1er Sector, 67173 Monterrey, N.L."
5,Costco Wholesale,"Av. Lázaro Cárdenas 800, Zona Valle Oriente, 66269 Monterrey, N.L."
6,Planetarium Alfa,"Av. Roberto Garza Sada 1000, Carrizalejo, 66254 San Pedro Garza García, N.L."
7,Industrias John Deere,"Blvd Gustavo Díaz Ordaz #500, Zona Industrial, 66210 San Pedro Garza García, N.L."
8,Epicor Software México,"Boulevard Antonio L. Rodríguez Plaza Sur 1882, Santa María, 64650 Monterrey, N.L."
9,CEDIS Coppel,"Manuel de la Peña y Peña 1375, Sin Nombre de Col 22, Monterrey, N.L."
10,The Home Depot Cumbres Oeste,"Av Abraham Lincoln 14790, Parque Industrial Cd Mitras, 66230 García, N.L."
11,Parque Fundadores,"Ojo de Agua 55, Moderno Apodaca II, 66600 Cd Apodaca, N.L."
12,Plaza Arcadia,"Av Eloy Cavazos 3301, Camino Real, 67170 Guadalupe, N.L."
13,Parque Acuático Margaritas,"Hacienda Las Margaritas 8vo. Sector, 67114 Ciudad Apodaca, NL"
14,Parque Lineal Escobedo,"Av. Las Torres, Sin Nombre de Col 15, 66056 Cd Gral Escobedo, N.L."
15,Plaza Sendero Santa Catarina,"Carr. Monterrey - Saltillo 2601, Parque Industrial la Puerta, 66367 Santa Catarina, N.L."
